conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1604120829251420163,Sat Dec 17 14:26:23 +0000 2022,0,Qatar Larang Kampanye LGBT di Piala Dunia 2022 Ternyata Mbappe Malah Punya Pacar Transgender? https://t.co/yatvFd9HqD,1604120829251420163,,,in,,0,0,0,https://twitter.com/mbsnews_id/status/1604120829251420163,1235394895835058178,mbsnews_id
1603948220043776000,Sat Dec 17 07:39:58 +0000 2022,1,@GanangIsmail091 @SiaranBolaLive Point terakhir yg malesin sih. Bola ya bola aja gw gak suka kampanye lgbt jg gak suka dakwah2an juga,1604018552196894721,,GanangIsmail091,in,Jakarta,0,1,1,https://twitter.com/hanux_/status/1604018552196894721,104516257,hanux_
1603634782834814976,Sat Dec 17 06:41:23 +0000 2022,1,@tammiiuu @thaiifess Me to. Trnyata Dia ikut kampanye lgbt bkn brarti dia trmsuk kaumnya. Byak artis yg emg mendukung kaum lgbt wkwk. Fix rela menikung mew gue ,1604003808740528128,,tammiiuu,in,"Yogyakarta, Indonesia",0,1,0,https://twitter.com/veenart_97/status/1604003808740528128,1547281514467311616,veenart_97
1603648900359147521,Sat Dec 17 00:04:56 +0000 2022,1,@Dennysiregar7 Yg jelas kampanye LGBT gagal total di Pildun Qatar dan tentunya kamu tahu kan siapa yang paling kecewa dg hal ini ? Masak gak tau ,1603904039631998976,,Dennysiregar7,in,INDONESIA,0,1,0,https://twitter.com/JsRachman/status/1603904039631998976,1965175897,JsRachman
1603751800146128897,Fri Dec 16 18:36:03 +0000 2022,0,@WarnerBrosID Apakah ada kampanye lgbt nya ?,1603821270453604352,,WarnerBrosID,in,,0,0,0,https://twitter.com/hastwoashtwo/status/1603821270453604352,1188984956589993985,hastwoashtwo
1603374810012463104,Fri Dec 16 10:50:48 +0000 2022,0,@berlianidris Ngapain sih dok repot Ada kampanye anti LGBT no sex bebas stay away from drug anti FWB an tu supaya bisa menekan serendah mungkin penularan HIV. Kalo mereka paling bener bukannya kita juga bisa merasa paling bener buat preventive diri kita dr penularan krn menangani mereka,1603704189950996480,,berlianidris,in,,0,0,0,https://twitter.com/hwang_hyunj1n/status/1603704189950996480,1107083117880238080,hwang_hyunj1n
1603336505493278722,Fri Dec 16 09:34:14 +0000 2022,6,@rdpms99 @alimurtado_id Itu sih media barat aja yang memberitakan. Mrk ga terima kalah drawing dari Qatar. Ditambah ga bisa kampanye LGBT mereka. Makanya merong2 bikin berita yang aneh-aneh.,1603684917485113344,,rdpms99,in,,0,0,0,https://twitter.com/GayamudaS/status/1603684917485113344,1427640017497755668,GayamudaS
1603259579894153216,Fri Dec 16 03:12:48 +0000 2022,0,@pengarang_sajak Lha mbok biarin aja to slm ga nyinggung agama lain Awal2 krn media ramai beritakan nuer kane denmark ngeyel kampanye lgbt di PD Qatar,1603588928715751424,,,in,jogja,0,1,0,https://twitter.com/CahCili20240764/status/1603588928715751424,1109774799687962626,CahCili20240764
1602892593293332480,Fri Dec 16 03:09:12 +0000 2022,0,@steve_wpl @Sentjoko @ratnasuryono @spektrumku @Aedrianne666 @bokohalal @gartley1 @Ngayawara1 Intinya kan protes OR dirasuki sesuatu; OR dirasuki agama OR dirasuki kampanye LGBT Trus?,1603588021802381313,,steve_wpl,in,,0,0,0,https://twitter.com/muttle9/status/1603588021802381313,2468828202,muttle9
1603509807691857922,Thu Dec 15 21:58:24 +0000 2022,0,belum denger berita para pembela LGBT kampanye di Rusia kapan dong jangan di Qatar aja beraninya atau Zimbabwe yg katanya bisa bebas dari penjara kalau Hamil,1603509807691857922,,,in,Dihati mu ,0,0,0,https://twitter.com/ArwahMiliter/status/1603509807691857922,3435242294,ArwahMiliter
